"LOCAL_AIRPORT","AIRLINE_CODE","FLIGHT_NUMBER","FREQUENCY","ARRIVAL_DEPARTURE_FLAG","SOURCE_DESTINATION","SCHED_TIME","TIME_ZONE","EFF_DT_FROM","EFF_DT_TILL"
"AMD","6E","243","1234567","1","BOM","1915","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","243","1234567","1","BOM","1945","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","G8","569","1234567","1","BOM","2040","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","320","1234567","1","BOM","2050","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","639","1234567","1","BOM","2105","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0639","1234567","1","BOM","2105","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","6433","1234567","1","BOM","2215","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","433","1234567","1","BOM","2215","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","385","1234567","1","BOM","2225","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","637","1234567","1","BOM","2230","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","363","1234567","1","BOM","2315","IST","2017-03-26T00:00:00","2017-03-31T00:00:00"
"AMD","G8","412","1234567","1","BOM","2325","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","637","1234567","1","BOM","2350","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","637","1234567","1","BOM","2350","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0362","1234567","1","CCU","130","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","202","1234567","1","CCU","1530","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0202","1234567","1","CCU","1540","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","537","1234567","1","CCU","1925","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","537","1234567","1","CCU","1925","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","144","1234567","1","CCU","2125","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0674","1234567","1","CCU","2125","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","242","1234567","1","CCU","2245","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","702","134567","1","COK","1640","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","702","2","1","COK","1640","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","702","1234567","1","COK","1650","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","625","1234567","1","DEL","10","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0625","1234567","1","DEL","25","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","323","1234567","1","DEL","35","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","323","1234567","1","DEL","45","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","SG","913","1234567","1","DEL","735","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
